,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talnakh,69.49,88.4,60.8,67.0,34.0,8.95,RU,1596036971
1,bluff,-46.6,168.33,50.32,91.0,100.0,13.8,NZ,1596036919
2,port alfred,-33.59,26.89,60.57,70.0,0.0,14.52,ZA,1596036937
3,hobart,-42.88,147.33,48.2,61.0,13.0,12.75,AU,1596036878
4,qaanaaq,77.48,-69.36,42.49,73.0,70.0,2.13,GL,1596036972
5,lavrentiya,65.58,-171.0,47.59,90.0,95.0,4.81,RU,1596036972
6,khatanga,71.97,102.5,54.37,72.0,6.0,5.64,RU,1596036973
7,kapaa,22.08,-159.32,77.0,83.0,90.0,19.46,US,1596036948
8,palestine,31.92,35.2,89.01,58.0,0.0,11.41,PS,1596036885
9,oksfjord,70.24,22.35,69.8,56.0,100.0,9.17,NO,1596036974
10,kodiak,57.79,-152.41,53.6,76.0,1.0,6.93,US,1596036700
11,nanortalik,60.14,-45.24,47.08,92.0,100.0,9.55,GL,1596036974
12,meleuz,52.97,55.92,65.62,79.0,13.0,4.0,RU,1596036974
13,mataura,-46.19,168.86,47.88,91.0,100.0,3.27,NZ,1596036975
14,ouro preto do oeste,-10.75,-62.22,92.3,30.0,0.0,6.44,BR,1596036975
15,albany,42.6,-73.97,84.0,45.0,0.0,4.59,US,1596036796
16,mehran,33.12,46.16,93.2,24.0,20.0,9.17,IR,1596036976
17,rikitea,-23.12,-134.97,72.57,80.0,11.0,11.59,PF,1596036938
18,taoudenni,22.68,-3.98,106.93,17.0,36.0,3.51,ML,1596036976
19,lompoc,34.64,-120.46,57.2,93.0,90.0,3.36,US,1596036977
20,ushuaia,-54.8,-68.3,39.2,69.0,40.0,32.21,AR,1596036858
21,codajas,-3.84,-62.06,93.6,33.0,0.0,5.46,BR,1596036977
22,saskylakh,71.92,114.08,48.92,81.0,0.0,4.94,RU,1596036978
23,ancud,-41.87,-73.82,46.0,87.0,75.0,3.36,CL,1596036978
24,vaini,-21.2,-175.2,68.0,72.0,20.0,8.05,TO,1596036826
25,katsuura,35.13,140.3,71.6,88.0,75.0,9.17,JP,1596036979
26,isangel,-19.55,169.27,74.46,73.0,80.0,18.88,VU,1596036979
27,cidreira,-30.18,-50.21,52.16,63.0,71.0,9.37,BR,1596036721
28,atuona,-9.8,-139.03,79.25,77.0,12.0,22.08,PF,1596036771
29,airai,-8.93,125.41,52.39,88.0,44.0,3.27,TL,1596036822
30,xai-xai,-25.05,33.64,66.09,73.0,0.0,6.76,MZ,1596036980
31,mahebourg,-20.41,57.7,71.6,83.0,75.0,9.17,MU,1596036981
32,gambiran,-6.8,111.5,70.88,74.0,49.0,4.18,ID,1596036981
33,kahului,20.89,-156.47,73.4,78.0,90.0,11.41,US,1596036736
34,alice springs,-23.7,133.88,42.8,33.0,0.0,5.82,AU,1596036955
35,maltahohe,-24.83,16.98,65.84,25.0,0.0,1.48,NA,1596036982
36,vila franca do campo,37.72,-25.43,75.2,83.0,75.0,11.41,PT,1596036982
37,tateyama,34.98,139.87,72.0,90.0,100.0,7.67,JP,1596036983
38,pustoshka,56.34,29.37,68.02,76.0,98.0,8.01,RU,1596036983
39,cape town,-33.93,18.42,64.0,72.0,40.0,10.29,ZA,1596036793
40,bolobo,-2.17,16.23,87.85,36.0,70.0,1.95,CD,1596036984
41,horadiz,39.45,47.34,87.8,48.0,30.0,4.7,AZ,1596036984
42,sioux lookout,50.1,-91.92,62.6,82.0,90.0,5.82,CA,1596036797
43,hithadhoo,-0.6,73.08,83.5,76.0,29.0,16.73,MV,1596036963
44,barguzin,53.62,109.62,63.75,80.0,100.0,2.28,RU,1596036985
45,troitsko-pechorsk,62.71,56.2,61.45,68.0,100.0,3.74,RU,1596036985
46,chuy,-33.7,-53.46,51.13,64.0,0.0,6.89,UY,1596036986
47,esperance,-33.87,121.9,53.6,100.0,0.0,9.17,AU,1596036784
48,thompson,55.74,-97.86,64.4,72.0,40.0,2.24,CA,1596036987
49,castro,-24.79,-50.01,62.53,80.0,98.0,6.71,BR,1596036781
50,nome,64.5,-165.41,46.99,100.0,90.0,13.87,US,1596036816
51,hilo,19.73,-155.09,71.6,83.0,90.0,5.82,US,1596036872
52,waynesboro,38.07,-78.89,89.01,57.0,1.0,3.36,US,1596036988
53,erenhot,43.65,111.98,81.16,31.0,75.0,8.95,CN,1596036988
54,hermanus,-34.42,19.23,63.0,73.0,0.0,4.0,ZA,1596036844
55,jamestown,42.1,-79.24,79.0,69.0,75.0,12.75,US,1596036989
56,yellowknife,62.46,-114.35,66.99,68.0,20.0,6.93,CA,1596036693
57,saint-philippe,-21.36,55.77,71.6,83.0,90.0,13.87,RE,1596036964
58,bambous virieux,-20.34,57.76,72.0,83.0,75.0,9.17,MU,1596036779
59,ust-tsilma,65.44,52.15,63.88,47.0,9.0,6.2,RU,1596036990
60,huarmey,-10.07,-78.15,65.82,63.0,42.0,8.97,PE,1596036990
61,cacu,-18.56,-51.13,91.47,24.0,0.0,2.01,BR,1596036991
62,ponta do sol,32.67,-17.1,73.99,60.0,22.0,3.47,PT,1596036991
63,matara,5.95,80.54,77.88,88.0,48.0,9.91,LK,1596036991
64,burdur,37.72,30.29,95.0,19.0,20.0,11.41,TR,1596036991
65,celestun,20.87,-90.4,87.87,63.0,3.0,9.13,MX,1596036992
66,tuktoyaktuk,69.45,-133.04,46.4,87.0,90.0,4.7,CA,1596036775
67,arequipa,-16.4,-71.53,64.4,7.0,0.0,5.82,PE,1596036811
68,korla,41.76,86.15,82.0,67.0,48.0,3.0,CN,1596036928
69,lebu,-37.62,-73.65,48.33,54.0,56.0,0.58,CL,1596036993
70,mar del plata,-38.0,-57.56,52.0,50.0,0.0,10.29,AR,1596036993
71,carnarvon,-24.87,113.63,64.4,93.0,0.0,9.17,AU,1596036885
72,valera,9.32,-70.6,84.96,57.0,70.0,3.91,VE,1596036994
73,guerrero negro,27.98,-114.06,73.15,67.0,15.0,3.8,MX,1596036994
74,sassandra,4.95,-6.08,78.42,77.0,56.0,10.07,CI,1596036994
75,hami,42.8,93.45,85.96,14.0,100.0,3.71,CN,1596036995
76,avarua,-21.21,-159.78,69.8,88.0,86.0,12.75,CK,1596036962
77,tiksi,71.69,128.87,40.14,85.0,100.0,7.61,RU,1596036995
78,nikolskoye,59.7,30.79,66.2,88.0,75.0,8.95,RU,1596036996
79,busselton,-33.65,115.33,48.0,83.0,33.0,4.18,AU,1596036996
80,tasiilaq,65.61,-37.64,44.6,75.0,75.0,13.87,GL,1596036781
81,mount abu,24.59,72.71,76.23,84.0,99.0,6.98,IN,1596036997
82,faanui,-16.48,-151.75,80.15,73.0,94.0,15.9,PF,1596036813
83,goderich,43.75,-81.72,77.0,77.0,45.0,8.14,CA,1596036997
84,bayan,46.08,127.4,69.75,86.0,55.0,4.38,CN,1596036998
85,ajdabiya,30.76,20.23,88.23,42.0,0.0,23.02,LY,1596036998
86,san carlos,9.66,-68.58,84.11,77.0,4.0,3.58,VE,1596036998
87,mpika,-11.83,31.45,64.94,52.0,76.0,5.93,ZM,1596036999
88,yarmouth,41.71,-70.23,82.99,48.0,1.0,4.7,US,1596036999
89,tottori,35.5,134.23,74.79,91.0,27.0,1.48,JP,1596036999
90,bredasdorp,-34.53,20.04,66.2,55.0,0.0,13.87,ZA,1596036961
91,dikson,73.51,80.55,49.15,77.0,97.0,14.41,RU,1596036792
92,bethel,41.37,-73.41,87.01,54.0,20.0,8.05,US,1596037000
93,kafanchan,9.58,8.3,76.84,84.0,60.0,4.81,NG,1596037001
94,acapulco,16.86,-99.89,84.2,79.0,20.0,3.36,MX,1596036984
95,punta arenas,-53.15,-70.92,39.2,80.0,40.0,17.22,CL,1596036860
96,liverpool,53.41,-2.98,66.0,63.0,92.0,8.05,GB,1596036991
97,arraial do cabo,-22.97,-42.03,77.0,78.0,75.0,14.99,BR,1596037002
98,beringovskiy,63.05,179.32,51.37,88.0,18.0,11.36,RU,1596037002
99,helong,42.54,129.0,62.71,89.0,33.0,2.55,CN,1596037003
100,tangkak,2.27,102.55,78.8,88.0,20.0,2.24,MY,1596037003
101,geraldton,-28.77,114.6,50.0,93.0,0.0,5.82,AU,1596037003
102,bardiyah,31.76,25.09,82.99,55.0,0.0,13.02,LY,1596037004
103,port lincoln,-34.73,135.87,52.52,87.0,0.0,3.65,AU,1596037004
104,berdigestyakh,62.1,126.7,48.16,94.0,22.0,3.62,RU,1596037005
105,saquarema,-22.92,-42.51,77.0,78.0,75.0,14.99,BR,1596037005
106,iqaluit,63.75,-68.51,68.0,52.0,75.0,12.75,CA,1596037006
107,placido de castro,-10.34,-67.19,91.54,37.0,21.0,5.5,BR,1596037006
108,nobres,-14.72,-56.33,90.7,30.0,0.0,6.08,BR,1596037006
109,teguldet,57.31,88.17,59.56,95.0,87.0,3.62,RU,1596037007
110,belaya gora,68.53,146.42,42.01,71.0,99.0,6.24,RU,1596037007
111,souillac,-20.52,57.52,71.6,83.0,75.0,9.17,MU,1596037007
112,georgetown,5.41,100.34,84.2,79.0,20.0,2.24,MY,1596037008
113,fortuna,40.6,-124.16,54.0,100.0,90.0,2.48,US,1596037008
114,san pedro,14.35,121.02,77.0,100.0,100.0,4.7,PH,1596037008
115,barrow,71.29,-156.79,42.8,81.0,90.0,19.46,US,1596037009
116,hoquiam,46.98,-123.89,57.99,100.0,90.0,1.52,US,1596036946
117,manggar,-2.88,108.27,79.18,81.0,100.0,10.49,ID,1596037009
118,katherine,-14.47,132.27,64.4,20.0,9.0,9.17,AU,1596037010
119,chifeng,42.27,118.96,71.44,64.0,0.0,6.06,CN,1596037010
120,shenzhen,22.55,114.07,86.0,74.0,96.0,8.95,CN,1596037011
121,srednekolymsk,67.45,153.68,42.66,87.0,78.0,8.01,RU,1596037011
122,ust-nera,64.57,143.2,45.64,58.0,44.0,5.86,RU,1596037011
123,lorengau,-2.02,147.27,81.59,66.0,83.0,4.29,PG,1596037012
124,kumluca,36.37,30.29,90.39,46.0,0.0,6.04,TR,1596037012
125,paamiut,61.99,-49.67,47.66,92.0,83.0,3.11,GL,1596036793
126,klaksvik,62.23,-6.59,50.0,87.0,100.0,23.04,FO,1596036823
127,mount pleasant,32.79,-79.86,89.01,74.0,1.0,5.82,US,1596037013
128,kaitangata,-46.28,169.85,46.99,79.0,100.0,1.99,NZ,1596036973
129,vardo,70.37,31.11,53.6,87.0,75.0,25.28,NO,1596037014
130,gweta,-20.18,25.23,67.42,28.0,0.0,7.4,BW,1596037014
